# metric_direction: higher_is_better
iteration	timestamp	commit	metric	delta	guard	guard-metric	status	description
12	2026-08-13T02:25Z	5807d0067	6237442.9	-6.45%	pass	-	discard	experiment: NCCL_PROTO=Simple badly regresses (bimodal collective mix needs LL for small ops); reverted. LOOP PAUSE RECOMMENDED: flag-arm well dry.
# NOTE (2026-08-13): rebased onto origin/main pulling #8209 (per-GPU EP default); loop's duplicate --processes-per-task/AR_PPT plumbing dropped, per-GPU now inherited from main. Kept defaults (CF 1.8, HIST QB, inline overlap 4) verified intact post-rebase.
13	2026-08-13T21:40Z	518aec6b83	6847027	+2.69%	-	-	discard	experiment: save_moe remat (skip backward a2a recompute). Median 0.6291->0.6125s BUT drop gate FAILED 4.57%>2% AND loss corrupted (+0.58 nats @999 vs anchor: 2.798 vs 2.216, drops 3-4x all run). Not a perf/memory trade: save_moe + fixed_all_to_all EP produces wrong gradients. Bug filed. Queue note: gang waited ~4h unadmitted at interactive (31-deep rack backlog, Kueue attempt churn resets FIFO position), then ran.
# NOTE (2026-08-14): datakit purge fallout — rung mixture repointed at the legacy store (s3://marin-us-east-02a/datakit/store_8ac06c74), which costs ~1.2% median step vs the purged rooted copy. Anchor re-based on legacy store. poll_score stall-kill DEFANGED to warn-only after it terminated healthy checkpoint-recovering run 15 at step 65. Cluster preemption weather: interactive gangs bounced repeatedly by production traffic (15b survived 4 preemptions).
14	2026-08-14T05:55Z	e90be01d41	6404382	-2.81%	-	-	discard	experiment: fuse per-expert EP a2a into one per direction (2 vs 6 collectives/layer). Clean loss vs same-store anchor 15b; losing dispatch/GEMM pipelining outweighs launch amortization. 14b/14c were data-purge casualties, not verdicts. Reverted.
15	2026-08-14T06:00Z	0a334e70fe	6589300	anchor	pass	-	re-baseline	legacy-store anchor (kept config): median 0.6365s, drops 1.80% <= 2%. New anchor for all subsequent iterations. Run 15 (first attempt) was killed by the old stall watchdog during healthy preemption recovery — harness bug, fixed.
16	2026-08-14T07:55Z	d94d6b8048	6538863	-0.77%	-	-	discard	experiment: split EP a2a chains into two capacity chunks (6 half-size chains). -0.77% vs anchor, ~3x floor; drops 1.71% pass. With iter14 (-2.81% at 2 chains) this brackets the 3-chain structure as the local optimum in a2a granularity. Run survived 8 preemptions. Reverted.
18	2026-08-14T10:20Z	f151543625	-	-	-	-	crash	experiment: +COLLECTIVES in the command-buffer capture set. SILENT WEDGE at step 838: all 16 tasks alive, zero log output 15+ min, W&B frozen, loss healthy — the #5675 hang anatomy, now bisected to graph-captured collectives (default set ran 2000+ steps clean in iter17/17b). Killed + reverted; posted to #5675.
19	2026-08-14T10:50Z	d96d771392	6811524	+1.30%	pass	allowlist-8	keep-pending	experiment: e4m3 wire for the dispatch a2a (per-row scales, bf16 cotangent). Loss curve matches anchor to +0.0006 nats @999; drops unchanged 1.77%. Guard pass. Confirmation draw next.
19b	2026-08-14T11:15Z	d96d771392	6759292	+0.52%	pass	-	keep	confirmation: +1.30%/+0.52% two draws, CONFIRMED (~+0.9% central). New anchor 6,759,292. #7665's wire result reproduces on GB200 NVLink at the rung.
20	2026-08-14T12:05Z	692c2e701f	6617912	-2.09%	-	-	discard	experiment: e4m3 wire on the combine a2a too. Numerics clean (loss -0.0003 @999) but clear regression: post-GEMM quant/dequant on the critical path costs more than the return-leg bandwidth saves. Dispatch-only wire is the optimum. Reverted.
21	2026-08-14T13:05Z	816370bb1e	6563958	-2.89%	-	-	discard	experiment: xla_gpu_graph_enable_concurrent_region regresses clearly (fights the latency-hiding schedule). Reverted.
22	2026-08-14T13:55Z	0458cfc879	6790336	+0.46%	-	-	keep-pending	experiment: quantize-at-source e4m3 dispatch (7x less quant work, fp8 gather). CPU-mesh equivalence check green. +0.46% is 1.8x floor — confirmation draw next; drops 1.77% pass.
22b	2026-08-14T14:40Z	0458cfc879	6842546	+1.23%	pending	-	keep	confirmation: +0.46%/+1.23% two draws, CONFIRMED. Quantize-at-source folds into the fp8-wire keep. New anchor 6,842,546. Guard on the full kept stack next.
# SEAL (2026-08-14T15:10Z): loop complete at 24/25 slots. Baseline 6,150,006 -> final anchor 6,842,546 median tok/s (+11.3% total): CF 2.5->1.8 frontier +6.7% (pre-directive), discovered keeps ~+5.1% compounded (histogram QB +0.91%, inline overlap 4 +0.47%, command buffers default set +2.1%, e4m3 dispatch wire +0.9%, quantize-at-source +0.8%), legacy-store environment shift -1.2%. Final drops 1.75% <= 2% gate. Final guard on kept stack: PASS. Bugs filed: #8253 (save_moe corruption), #8276 (gang resurrection), #8222 (PGLE CUPTI); #5675 bisected to COLLECTIVES capture.
