# metric_direction: higher_is_better
iteration	timestamp	commit	metric	delta	guard	guard-metric	status	description
3	2026-08-29T12:25Z	d242d81499	-	-	-	-	crash	mfl-h10po-a2: retry reproduced the identical NCCL alltoall CUDA OOM at first execution -> H10 DETERMINISTICALLY OOM-BLOCKED at MEM_FRACTION 0.75. Pipeliner engaged both times (while.251.clone). Iteration 3 closed: engaged, unmeasurable at standard memory posture. H10b rescue (fraction 0.72 pair) specced, pending review.
3	2026-08-29T13:50Z	cc7806544f	22.7675	-	pass	drops3.4e-5,peak114.34,sd0.732,med23.1958,stalls5	treatment	mfl-h10po-f72: H10@0.72 feasibility probe RAN CLEAN to 30030 — pipeliner engaged, peak 114.34 (no churn cliff), 29-step loss delta max 9.8e-5 within band, first-step clean (no race signature). Package (pipelining+frac0.72) median 23.196 vs 0.75-baseline 23.32 on n=1. H10b scored structure PARKED behind T-H9-2: feasible + fidelity-clean but package reads flat-to-negative and needs 3+ more arms to attribute.
4	2026-08-29T15:40Z	76c13a6170	23.6618	+0.34	pass	drops3.3e-5,peak113.50,sd0.127,med23.6796,stalls0	treatment	mfl-h92-a: T-H9-2 draw 1 — median 23.680 vs control 23.24-23.38 = +0.36, 2x the keep bar; zero stalls, peak -3.1GiB, drops identical. Draw 2 with profile tail next.
4	2026-08-29T16:10Z	76c13a6170	23.3605	-	pass	drops3.3e-5,peak113.50,sd0.749,med23.7788,stalls4	treatment	mfl-h92-b: T-H9-2 draw 2 (profile tail) — median 23.779; treatment medians 23.680/23.779 vs controls 23.24-23.38, consistent +0.4-class effect
4	2026-08-29T16:50Z	5324007f19	23.0029	-	pass	drops3.3e-5,peak116.57,sd0.679,med23.3369,stalls4	control	mfl-ctrl-e: bracketing control (pre-change tree via REPO override), median 23.337 in family. ITERATION 4 DECISION: KEEP T-H9-2 (+0.41 median, ~8 sigma vs 5 controls, engagement trio green, fidelity at C-C levels). New control stack = 76c13a6170; new-stack reference medians 23.680/23.779.
5	2026-08-29T18:00Z	e1e1d96be8	22.9981	-	pass	drops3.2e-5,peak122.54,sd0.738,med23.4345,stalls6	treatment	mfl-h10n-a: H10 pipelined offload RUNS on the new stack (OOM cleared by the T-H9-2 memory savings; peak 122.5 under threshold). But: median -0.29 vs new-stack refs, clean steps -0.13, stalls DOUBLED (6/15) -> stall guard fires. One confirmation draw (same tree via worktree pin).
5	2026-08-29T19:00Z	e1e1d96be8	23.3208	-	pass	drops3.4e-5,peak122.54,sd0.563,med23.5140,stalls2	discard	mfl-h10n-b: H10 draw 2 confirms — treatment 23.434/23.514 vs new-stack refs 23.680/23.779 = -0.25 consistent; draw-1 stall spike was environmental (2 stalls here). ITERATION 5: DISCARD H10 definitively (OOM-blocked old stack, engaged-negative new stack; the 576ms offload exposure is real but this lever cannot collect it — rotation costs more than it hides, peak +9GiB).
6	2026-08-29T19:45Z	cee9e12b78	23.6961	-	pass	drops3.4e-5,peak112.75,sd0.171,med23.7214,stalls0	control	mfl-ctrl-f: first salted-tree control — median 23.721 in the new-stack family (23.680/23.779); salt confirmed sub-noise as predicted, peak -0.75GiB (residual copy buffers freed). Salted reference set forming for H11 sweeps.
6	2026-08-29T22:00Z	9ee8159d61	23.2544	-	pass	drops3.4e-5,peak112.75,sd0.935,med23.6450,stalls4	control	mfl-ctrl-g: salted reference pair complete — f/g medians 23.721/23.645; kept-stack reference set (incl. pre-salt h92-a/b) = 23.645-23.779, mean 23.706, sd 0.057, keep bar ~0.17. Ready for the H11 identity control + sweep.
6	2026-08-30T01:00Z	012c914a0c	23.3387	-	pass	drops3.3e-5,peak112.75,sd0.710,med23.6684,stalls4	control	mfl-h11-id-a: H11 IDENTITY PASSES — median 23.668 in family, runtime custody 0.11.1+marin.ce6db0d2c555 confirmed, cta_count line live: TRUE GRID IS 1216 (8 x 152 SMs; prior 148 estimate wrong; treatment targets 608/304). lsa_size=64 gin=false: all 64 ranks one NVLink LSA domain.
6	2026-08-30T02:10Z	012c914a0c	23.3132	-	pass	drops3.4e-5,peak112.75,sd0.943,med23.8293,stalls5	treatment	mfl-h11-c4-a: CTAS=4 draw 1 ENGAGED (cta_count=608) — median 23.829 vs identity 23.668 = +0.16 on the first pair, at the bar. Interleave continues: id-b then c4-b.
6	2026-08-30T02:50Z	87a404fcfe	23.3254	-	pass	peak112.75,med23.6777,stalls4	control	mfl-h11-id-b: identity pair complete 23.668/23.678 (spread 0.009); c4-a sits +0.156 over the pair mean; c4-b decides
6	2026-08-30T03:30Z	912c01df6e	23.8531	-	pass	drops3.3e-5,peak112.75,sd0.412,med24.0341,stalls1	treatment	mfl-h11-c4-b: CTAS=4 KEEP-CLASS — pair 23.829/24.034 (mean 23.932) vs identity pair 23.668/23.678 (mean 23.673) = +0.26 > bar 0.17, both draws consistent, engagement 608 both, guards clean. First 24+ median. c2 rung probe next, then confirmation vs fresh no-wheel control.
6	2026-08-30T04:10Z	912c01df6e	23.4024	-	pass	peak112.75,med23.9388,stalls5	treatment	mfl-h11-c2-a: CTAS=2 probe ENGAGED (304) — median 23.939, ties the c4 pair on n=1; no bandwidth cliff at quarter grid. Probing CTAS=1 (152) before picking the confirmation rung.
6	2026-08-30T04:50Z	a3d1a28b77	23.5800	-	pass	peak112.75,med24.0811,stalls5	treatment	mfl-h11-c1-a: CTAS=1 probe ENGAGED (152) — median 24.081, best draw of the campaign. Ladder monotone 8->23.67 4->23.93 2->23.94 1->24.08. Confirmation pair at the floor (c1-b with profile tail), then fresh no-wheel control.
6	2026-08-30T05:30Z	a3d1a28b77	23.7391	-	pass	drops3.3e-5,peak112.75,sd0.957,med24.0728,stalls3	treatment	mfl-h11-c1-b: CTAS=1 pair CONFIRMED 24.081/24.073 (spread 0.008) vs identity pair 23.668/23.678 = +0.40 within-wheel. Fresh no-wheel control next prices the deployable delta.
6	2026-08-30T06:50Z	5da5e1754f	22.9604	-	pass	peak112.75,med23.5565,stalls7	keep	mfl-ctrl-h closes ITERATION 6: H11 KEEP at CTAS=1 (+0.40 within-wheel: c1 pair 24.081/24.073 vs identity 23.668/23.678; no-wheel crosscheck +0.44 vs f/g/h 23.721/23.645/23.557; guards clean; engagement proven every rung; attribution = GEMM contention recovery -535 vs a2a exposure giveback +130/+128, transport only 6.6% slower at 1/8 grid). Stall pressure rising tonight (h: 7 stalls) — medians absorbing it. DEPLOYMENT: needs the CTA patch in a promoted wheel + env var in hero launcher (user act).
7	2026-08-30T09:20Z	6fb19209d5	-	-	FAIL	peak124.26,nan@30008	discard	mfl-c3p-k1-a: C3-prime k=1 CORRUPTED TRAINING — step-30000 loss bitwise-identical (params restored clean), first update +7.3e-4 (7x band), compounding to NaN at 30008. Prime suspect: GPU donation-aliasing race on the resident momentum leaf (CPU bitwise proofs are serial and cannot catch it). ITERATION 7 DISCARD-UNSAFE; k>0 BANNED pending root-cause; default k=0 stays in the stack (HLO-identical, proven). The fidelity gates caught it exactly as designed — 5 rack-minutes spent, zero wrong conclusions.
7	2026-08-30T12:10Z	7f58a00eb1	-	-	-	-	crash	mfl-c3p-poold-a: INVALID (infrastructure) — startup pool prealloc failed to get 138.2 GiB on multiple ranks; stale GPU memory from the k1-a NaN crash is the likely cause, not the treatment (failure precedes any model work). Retry with fresh RID.
7	2026-08-30T13:40Z	7f58a00eb1	-	-	-	-	crash	mfl-c3p-poold-a2: retry OOMd the same way (prealloc on some ranks + NCCL on others) — rack now CONTESTED (zack exp177 single-node fleet admitted); both discriminator attempts are infrastructure-invalid, S1/S2 still open. Discriminator re-queued after the C5 smoke.
8	2026-08-30T14:20Z	51b34c8f1f	-	-	pass	smoke:peak114.33,dloss2.5e-5/6e-6	treatment	mfl-c5-smoke: 2-step GPU smoke PASSED (the new iteration-7 gate) — losses within null band, peak matches prediction, engagement resident. Scored pair authorized.
8	2026-08-30T15:10Z	9909a3d6ab	23.2758	-	pass	drops3.3e-5,peak114.33,sd0.999,med23.7750,stalls5	treatment	mfl-c5-a: C5 draw 1 — median 23.775, top of the no-cap family (+0.13 vs f/g/h controls), engaged (peak 114.33). Bracket control i, then c5-b decide.
8	2026-08-30T16:00Z	9909a3d6ab	23.3750	-	pass	peak112.75,med23.7767,stalls3	control	mfl-ctrl-i: same-night pair reads c5-a 23.775 vs ctrl-i 23.777 = NULL (the +0.13 vs f/g/h was stall-pressure drift). C5 trending engaged-null; c5-b confirms.
8	2026-08-30T16:50Z	9909a3d6ab	23.5155	-	pass	peak114.33,med23.8382,stalls3	discard	mfl-c5-b closes ITERATION 8: DISCARD C5 engaged-null — pair 23.775/23.838 vs same-night control 23.777 = +0.03, far under bar; engagement proven (peak +1.58 both draws, kernels deleted per smoke); fidelity clean. Lesson: recompute-pool kernel-ms is not critical-path ms — future save-policy candidates need exposed-time attribution before arms. The default-inert commit stays (byte-identical).
7	2026-08-30T17:40Z	7f58a00eb1	-	-	-	-	crash	mfl-c3p-poold-a3: THIRD identical startup OOM while C5 arms ran clean on the same nodes in between -> the pooled+k1 discriminator arm is itself infeasible (pooled-specific startup memory posture, mechanism not chased further). Three strikes: pooled discriminator ABANDONED. Pivot: single ragged arm with the resident leaf EXCLUDED FROM DONATION + step-boundary canary checksum (root-cause discriminators 2+1 combined) — clean => S1 (donation/schedule), corrupt => S2 (transport stray write), canary timing refines either.
6	2026-08-30T18:20Z	2741bc382f	23.4616	-	pass	peak112.75,med23.9686,stalls5	keep	mfl-h11-c1-c: third deployment-stack draw — CTAS=1 record now 24.081/24.073/23.969 (mean 24.04, sd 0.06) vs same-era controls ~23.78; keep confidence strengthened for the promotion dossier.
7	2026-08-30T21:20Z	3572ccb3c1	-	-	pass	smoke:peak124.42,dloss5e-6@30001,ck-mismatch0	treatment	mfl-k1x-smoke: donation-exclusion smoke PASSED — first update CLEAN (5e-6 vs the donated +7.3e-4 signature at the same step), canary continuity exact, exclusion overhead ~0.8 GiB not 10.9. S1 strongly favored. Full arm = discriminator through the NaN horizon AND a scored C3-prime-excluded draw.
7	2026-08-30T22:10Z	3572ccb3c1	23.2334	-	pass	peak124.42,med23.4294,stalls2,ck-mismatch0-allrun	discard	mfl-k1x-a CLOSES ITERATION 7 fully: S1 VERDICT — donation-exclusion eliminates the corruption through the NaN horizon (valid window, loss in family, zero canary mismatches), so the k=1 NaN was the donated resident leaf clobbered in-step by the production stack schedule, NOT a stray transport write. THE KEEPS PROMOTION GATE CLEARS (caveat: relocation could mask an address-fixed S2; no positive S2 evidence anywhere). C3-prime dead both ways: donated corrupts, excluded costs -0.35 (23.429 vs 23.777). HAZARD RECORDED: donated device-resident opt-state RMW leaves under the async offload schedule are unsafe on this stack — the #8317 family grows a member.
9	2026-08-31T02:00Z	5324007f19	23.1368	-	pass	drops3.2e-5,peak116.57,med23.3561,stalls3	control	mfl-e2e-zero-a: CAMPAIGN-ZERO same-night reference (pre-keep tree, stock wheel) — median 23.356, peak 116.57. Against tonight deployment triple 24.081/24.073/23.969 (mean 24.04, peak 112.75): END-TO-END +0.68 MFU direct, vs +0.81 sum-of-parts -> mildly SUB-ADDITIVE (the keeps overlap: T-H9-2 frees compute-stream time that H11 also relieves). Second zero draw for the pair.
9	2026-08-31T04:20Z	5324007f19	23.0278	-	pass	peak116.57,med23.3257,stalls3	control	mfl-e2e-zero-b: CAMPAIGN-ZERO PAIR COMPLETE 23.356/23.326 (mean 23.34, sd 0.021) vs deployment triple 24.081/24.073/23.969 (mean 24.04, sd 0.060). END-TO-END HEADLINE: +0.70 MFU (+3.0% throughput), ~12 sigma, both sides fidelity-clean, peak 116.57->112.75.
10	2026-08-31T05:20Z	3120b58fec	-	-	pass	smoke:peak117.74,drops1.45e-5/0,remat218-569,cta152	treatment	mfl-c13-smoke: ALL FIVE GATES PASS — no NCCL/symbuf failure; NO dot/GEMM in the remat set and remat count FELL 325->218 (569 net vs 1822); peak 117.74 (+5.0, far under the +12-16 feared and the 125 gate); drops 1.45e-5 then 0 vs baseline 3.3e-5 (engagement + strict fidelity gain); cta_count=152 and wheel custody confirmed. Scored pair authorized as NON-INFERIORITY (keep at >= -0.17).
10	2026-08-31T06:10Z	c559a913e7	23.1711	-	pass	peak117.74,med23.6143,stalls5,drops0.0	treatment	mfl-c13-a: C13 draw 1 — COMPLETELY DROPLESS (0.0 exact vs 3.3e-5) but median 23.614 vs deployment ~24.04 = -0.43, outside the -0.17 non-inferiority bar. Same-night control next to confirm the delta.
10	2026-08-31T07:00Z	1a56766b34	24.0881	-	pass	peak112.75,med24.1606,stalls1,drops3.2e-5	control	mfl-ctrl-j: same-night deployment control 24.161 (best draw yet) vs C13 23.614 = -0.55, 3x outside the -0.17 bar. Second treatment draw to close per the two-draw rule.
10	2026-08-31T07:50Z	1a56766b34	23.3723	-	pass	peak117.74,med23.7303,stalls4,drops0.0	discard	mfl-c13-b CLOSES ITERATION 10: DISCARD C13 for throughput — pair 23.614/23.730 (mean 23.67) vs same-night control 24.161 and the deployment record 24.04 = -0.40 to -0.49, outside the -0.17 non-inferiority bar. BUT both draws are EXACTLY DROPLESS (0.0 vs 3.3e-5) with losses in family: chunks=1 is a validated OPTION trading ~0.45 MFU for zero token drops, not a dead lever. Mechanism: doubled per-chunk buffers make transport ops ~2x longer and correspondingly harder to hide (link-bound, so the CTA cap does not help).
11	2026-08-31T15:30Z	ec65a92378	23.9376	-	pass	peak112.91,med24.0164,stalls0,drops3.2e-5	control	mfl-fix-ctrl-a: FIXED-TREE re-baseline (wgrad alignment 256) — median 24.016 vs pre-fix deployment 24.08/24.07/23.97/24.16 = -0.05, INSIDE NOISE. The correctness fix is throughput-free (0.2% more padded rows, unmeasurable). New control for the reopened levers.
11	2026-08-31T16:20Z	49fc182b19	22.9401	-	pass	peak121.68,med22.9040,stalls3,drops3.3e-5	discard	mfl-h19-a CLOSES the reopened offload lever: pipelined host offloading WITH the published async-compute-limit=8 scores 22.904 vs same-tree control 24.016 = -1.11, far WORSE than the -0.25 measured without the flag. Peak +8.8 GiB (more in-flight async work). The NVIDIA GB200 recipe does not transfer: our offload competes for the same async-compute resource as the ragged transport, which their DeepSeek-V3 config does not have. H10/H19 now jointly closed IN the published configuration -- a proper closure rather than a configuration artifact.
12	2026-08-31T17:10Z	34e1fbba6f	23.4895	-	pass	peak112.91,med23.9843,stalls3	discard	mfl-h20-a CLOSES the command-buffer subset: FUSION,CUSTOM_CALL scores 23.984 vs control 24.016 = -0.03, null, identical peak. SELF-CRITICISM: this arm was bounded to be null by data I already had -- our own trace measures PURE GAP at 18-20 ms/step, and launch overhead can only live in that gap, so the ceiling for any launch-overhead lever is ~+0.03 MFU. The literature reopened it correctly (the subset genuinely was never tried) but I should have applied our own measured gap as an upper bound before spending rack time. RULE: check the candidate against the measured budget of the leg it attacks BEFORE arming.
