current_id,title,kind,nearest_prior_ids,material_novelty,status,evidence,reopen_condition
WSD80-SUR-027,Pointwise-authority saturation,model,"CTPF;PMVT","Bounds first-order aggregate-gradient transport by the local aggregate-response range.",blocked_before_outcomes,"The 300M design lacked two-sided support and operated almost entirely in the linear regime.","Reopen only with an independently measured saturation scale and adequate support."
WSD80-SUR-029,Phase-ordered concentration,model,"prior_AM;JARA;prior_AB","Uses signed phase-local concentration at fixed aggregate, initially gated by aggregate-gradient magnitude.",rejected_before_outcomes,"The clean odd component lacked two-sided 300M support; its apparent balance came from an even term induced by unequal phase lengths.","Reopen only with parity derived first and a new independent physical functional."
WSD80-SUR-032,Fisher phase-information cost,model,"prior_AB","No material novelty: this is the second-order Taylor approximation of the previously rejected phase-label Jensen-Shannon adaptation-debt route.",blocked_reopening,"Historical transfer froze the base and found coefficient collapse; the current provenance audit blocked outcome fitting.","Only a non-even switch-debt state or materially new identification argument can reopen this family."
WSD80-SUR-033,Family-pooled retained response,model,"prior_C;prior_K;prior_V","Moves diminishing returns from bucketwise response to semantic-family totals while retaining bucket residuals.",blocked_before_outcomes,"Failed projection-independence and conditioning gates on the 300M design.","Reopen only with a family partition and response coordinate that is identifiable outcome-free."
WSD80-SUR-034,Centered hierarchical RPL,estimator,"prior_C;prior_K","Centers bucket amplitudes on family means. This changes the coefficient prior, not the training dynamics.",rejected,"Nested gains disappeared under pinned nonlinear configurations and did not improve both targets stably.","Reopen only under a new, preregistered hierarchy with an independently justified covariance structure."
WSD80-SUR-036,Signed family mediation,model,"prior_F;prior_N;FCF","Conserves family-total contrast while replacing bucket contrast with a family-mediated component.",blocked_before_outcomes,"At full mediation it deleted most contrast norm, especially in the 31-bucket family, rather than sharing signal.","Reopen only with a state transition that conserves both family totals and a calibrated contrast norm."
WSD80-SUR-037,Coarse family churn,model,"prior_L;prior_AB","No material novelty in the one-family limit: the Hellinger churn hazard reduces to an exposed global divergence route.",blocked_reopening,"Ninety-five percent of global Hellinger lay within the coarse partition and the feature was mostly explained by existing divergence and concentration coordinates.","Require a within-family state that remains distinct after conditioning on global divergence."
WSD80-SUR-038,Quality-pair churn,model,"prior_AB;JARA","Refines Hellinger churn to predeclared high/low quality pairs; locally it is conditional Fisher geometry.",rejected_before_outcomes,"Residualized churn had the wrong sign and a bootstrap interval spanning zero on the frozen Stage-0 test.","Reopen only with a directional transition that can introduce a new ordering direction."
WSD80-SUR-039,Exact-pair channel weighting,estimator,"PMVT","Uses exact aggregate-matched difference equations to emphasize phase response without changing the RPL model.",rejected,"Delta RMSE improved about 2 percent, but uncertainty included zero and Regret@1 worsened on both targets.","Reopen only with a preregistered estimator whose covariance assumptions match the observed pair residuals."
WSD80-SUR-040,Hierarchical retention random slopes,model,"prior_J;DMSR","Adds centered within-family retention heterogeneity to RPL.",blocked_before_outcomes,"The design could not resolve 36 phase slopes at the required effect size, and the parameterization confounded heterogeneity with the shared rate.","Require a low-dimensional transferable physical state rather than another bucketwise phase field."
WSD80-SUR-041,Coverage-normalized epoch contrast,model,"prior_B;prior_U;prior_AH","Normalizes phase contrast by physical corpus traversal without adding fitted parameters.",blocked_before_outcomes,"It changed gate scale by 2.5x-905x without a scale-matched arm and conflicted with the fixed-epoch WSD80 token ladder.","Reopen only with a scale-identified contrast law and matched gate-steepness ablation."
WSD80-SUR-042,Aggregate-gradient plasticity,model,"PMVT;PWD;EAGP;RSPR","Gates retained phase control by distance from stationarity of the independently fitted tied response.",blocked_before_outcomes,"The scalar is a distance in two buckets but a boundary-dominated statistic in 39 buckets; it also omitted the damage derivative and coupled odd and even response.","Require an aggregate state with the same physical meaning and scaling across both mandatory panels."
